mother,Cold-dell740-35,Cold-dell740-15,Cold-dell740-32,Cold-dell740-40,Cold-dell740-39,Cold-dell740-20,Cold-dell740-05,Cold-dell740-37,Cold-dell740-38,gmn1099
project_id,mail,mail,mail,mail,mail,mail,mail,mail,mail,mail
type,DELL-PER740xd-2U,DELL-PER740xd-2U,DELL-PER740xd-2U,DELL-PER740xd-2U,DELL-PER740xd-2U,DELL-PER740xd-2U,DELL-PER740xd-2U,DELL-PER740xd-2U,DELL-PER740xd-2U,DELL-PER740xd-2U
inventory,80672,80692,80669,80677,80676,80697,80682,80674,80675,80673
state,cold spare,cold spare,cold spare,cold spare,cold spare,cold spare,cold spare,cold spare,cold spare,cold spare
cpu,6,6,6,6,6,6,6,6,6,6
ram,32,32,32,32,32,32,32,32,32,32
os,D10,D10,D10,D10,D10,D10,D10,D10,D10,D10
qr_code,,,,,,,,,,
purchase_date,2021-11-04,2021-11-04,2021-11-04,2021-11-04,2021-11-04,2021-11-04,2021-11-04,2021-11-04,2021-11-04,2021-11-04
serial_number,570BHK3,CJVG8K3,270BHK3,B70BHK3,970BHK3,JJVG8K3,HKVG8K3,770BHK3,870BHK3,670BHK3
rack,A03.stl,A03.stl,A03.stl,A03.stl,A03.stl,B01.stl,B01.stl,B01.stl,B01.stl,B01.stl
rack_position,25,27,29,31,33,25,27,29,31,33
maintainer,jiri_tomasek,jiri_tomasek,jiri_tomasek,jiri_tomasek,jiri_tomasek,jiri_tomasek,jiri_tomasek,jiri_tomasek,jiri_tomasek,jiri_tomasek
switch_port,2,3,4,5,6,41,42,43,44,45
notes,,,,,,,,,,
mgmt,b0:7b:25:f7:04:a2-2,b0:7b:25:f4:6a:24-3,b0:7b:25:f7:04:0c-4,b0:7b:25:f7:04:84-5,b0:7b:25:f9:a2:b4-6,b0:7b:25:f4:82:e4-41,b0:7b:25:f4:4e:28-42,b0:7b:25:f7:04:cc-43,b0:7b:25:f7:04:90-44,b0:7b:25:f7:04:60-45
eth,34:73:5A:9F:DE:6C-2,34:73:5A:9F:D6:BC-3,34:73:5A:9F:DE:64-4,34:73:5A:9E:D2:F8-5,34:73:5A:9F:D9:FC-6,34:73:5A:9F:43:80-41,34:73:5A:A0:0B:18-42,34:73:5A:9E:E2:80-43,34:73:5A:A0:0D:B8-44,34:73:5A:A0:48:BC-45
e1,34:73:5A:9F:DE:6D-2,34:73:5A:9F:D6:BD-3,34:73:5A:9F:DE:65-4,34:73:5A:9E:D2:F9-5,34:73:5A:9F:D9:FD-6,34:73:5A:9F:43:81-41,34:73:5A:A0:0B:19-42,34:73:5A:9E:E2:81-43,34:73:5A:A0:0D:B9-44,34:73:5A:A0:48:BD-45
e2,34:73:5A:9F:DE:6E-2,34:73:5A:9F:D6:BE-3,34:73:5A:9F:DE:66-4,34:73:5A:9E:D2:FA-5,34:73:5A:9F:D9:FE-6,34:73:5A:9F:43:82-41,34:73:5A:A0:0B:1A-42,34:73:5A:9E:E2:82-43,34:73:5A:A0:0D:BA-44,34:73:5A:A0:48:BE-45
e3,34:73:5A:9F:DE:6F-2,34:73:5A:9F:D6:BF-3,34:73:5A:9F:DE:67-4,34:73:5A:9E:D2:FB-5,34:73:5A:9F:D9:FF-6,34:73:5A:9F:43:83-41,34:73:5A:A0:0B:1B-42,34:73:5A:9E:E2:83-43,34:73:5A:A0:0D:BB-44,34:73:5A:A0:48:BF-45
#name,gmn1003,gmn1011,gmn1021,gmn1027,gmn1029,gmn1031,gmn1045,gmn1065,gmn1081,gmn1099
#switch,AA03.stl,AA03.stl,AA03.stl,AA03.stl,AA03.stl,AB01.stl,AB01.stl,AB01.stl,AB01.stl,AB01.stl
#port,2,3,4,5,6,41,42,43,44,45
#vlan,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218
#desc,gmn1003,gmn1011,gmn1021,gmn1027,gmn1029,gmn1031,gmn1045,gmn1065,gmn1081,gmn1099
#switch_data,AA03.stl;2;1218;gmn1003,AA03.stl;3;1218;gmn1011,AA03.stl;4;1218;gmn1021,AA03.stl;5;1218;gmn1027,AA03.stl;6;1218;gmn1029,AB01.stl;41;1218;gmn1031,AB01.stl;42;1218;gmn1045,AB01.stl;43;1218;gmn1065,AB01.stl;44;1218;gmn1081,AB01.stl;45;1218;gmn1099
#machinegroups,gigamail CZ (Product group),gigamail CZ (Product group),gigamail CZ (Product group),gigamail CZ (Product group),gigamail CZ (Product group),gigamail CZ (Product group),gigamail CZ (Product group),gigamail CZ (Product group),gigamail CZ (Product group),gigamail CZ (Product group)
#nagios_system,"gm-cache, gm-storage","gm-cache, gm-storage","gm-cache, gm-storage","gm-cache, gm-storage","gm-cache, gm-storage","gm-cache, gm-storage","gm-cache, gm-storage","gm-cache, gm-storage","gm-cache, gm-storage","gm-cache, gm-storage"
#mgmt_vlan,1220,1220,1220,1220,1220,1220,1220,1220,1220,1220
#eth_subnet,,,,,,,,,,
#eth_ip_primary,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
